Crops,Infarm code ,DAH,Rep,Treatment,Weight loss (%),Overall Marketability,Condensation,Discoloration ,Wilting,Decay,Off odour,O2 (%),CO2 (%),Ethylene (ppm),Colour (L),Colour (a),Colour (b)
Flat parsley,Pr26,1,1,Ctrl,0,4,3,5,4,5,4,18,2.05,0,33.26,-17.81,27.53
Flat parsley,Pr26,1,2,Ctrl,0,4,3,5,4,5,4,18.3,1.91,0,35.15,-19.79,31.99
Flat parsley,Pr26,1,3,Ctrl,0,4,3,5,4,5,4,18.2,1.88,0,46.3,1.955,33.55
Flat parsley,Pr26,6,1,Ctrl,0.29,3,3,4,4,2,4,16.4,2.68,0,,,
Flat parsley,Pr26,6,2,Ctrl,0.1,3,4,4,3,2,3,15.3,3.77,0,,,
Flat parsley,Pr26,6,3,Ctrl,0.2,3,3,4,3,3,4,14.3,4.46,0,,,
Flat parsley,Pr26,12,1,Ctrl,0.23,3,3,3,3,2,3,14,4.21,1.7,49.01,3.44,35.64
Flat parsley,Pr26,12,2,Ctrl,0.22,3,2,4,3,2,2,13.3,4.4,0.9,39.03,-6.395,28.19
Flat parsley,Pr26,12,3,Ctrl,0.38,2,2,4,3,2,3,14.5,3.65,0,51.12,6.69,32.07
Flat parsley,Pr26,1,1,UVC 5min,0,4,3,5,4,4,4,18.2,1.82,1.5,38.88,-0.505,24.17
Flat parsley,Pr26,1,2,UVC 5min,0,4,3,5,4,5,3,18.4,1.89,2.2,41.04,9.815,21.03
Flat parsley,Pr26,1,3,UVC 5min,0,4,3,5,5,5,4,17.7,2.59,0.7,37.02,-16.9,31.73
Flat parsley,Pr26,6,1,UVC 5min,0.13,4,3,4,4,4,3,15.5,3.9,1.6,,,
Flat parsley,Pr26,6,2,UVC 5min,0.14,4,3,5,4,4,2,15.4,3.99,1.3,,,
Flat parsley,Pr26,6,3,UVC 5min,0.19,4,4,5,4,4,3,15.6,3.85,1.7,,,
Flat parsley,Pr26,12,1,UVC 5min,0.13,3,3,4,3,4,3,13,4.23,2,47.86,-8.55,30.4
Flat parsley,Pr26,12,2,UVC 5min,0.14,4,3,4,4,4,3,14.7,3.6,2.7,54.48,-3.22,39.29
Flat parsley,Pr26,12,3,UVC 5min,0.19,4,3,4,4,4,3,13.4,4.13,1.1,49.18,-3.1,31.7
Flat parsley,Pr26,1,1,UVC 8min,0,4,3,5,4,5,4,17.5,2.92,0.6,52.59,28.73,24.45
Flat parsley,Pr26,1,2,UVC 8min,0,4,3,5,4,5,4,18.3,2.13,0.4,46.46,-1.21,34.89
Flat parsley,Pr26,1,3,UVC 8min,0,4,3,4,4,5,3,17.5,2.78,0.2,52.92,-3.22,28.09
Flat parsley,Pr26,6,1,UVC 8min,0.19,4,3,4,3,4,3,14.8,4.3,0.3,,,
Flat parsley,Pr26,6,2,UVC 8min,0.2,4,4,4,3,4,2,14.5,4.43,1.8,,,
Flat parsley,Pr26,6,3,UVC 8min,0.12,4,3,4,4,4,3,14.6,3.94,0,,,
Flat parsley,Pr26,12,1,UVC 8min,1.64,3,3,3,3,4,3,15,3.94,3.5,42.56,-6.76,37.26
Flat parsley,Pr26,12,2,UVC 8min,1.5,3,3,3,3,4,3,20.5,0.76,0,44,-10.92,34.44
Flat parsley,Pr26,12,3,UVC 8min,1.57,3,3,3,3,4,2,13.5,4.15,7,49.06,20.94,25.26
Italian Basil,Bs49,1,1,Ctrl,0,3,3,4,3,4,4,18.5,1.5,0,59.91,-8.75,42.91
Italian Basil,Bs49,1,2,Ctrl,0,3,3,4,3,4,5,18.8,1.23,0,53.81,15.87,33.5
Italian Basil,Bs49,1,3,Ctrl,0,3,3,4,3,4,5,18.6,1.37,0,51.42,18.47,34.35
Italian Basil,Bs49,6,1,Ctrl,1.92,1,3,2,3,1,2,20,0.52,0,,,
Italian Basil,Bs49,6,2,Ctrl,0.24,1,3,2,3,1,2,18.1,1.69,0,,,
Italian Basil,Bs49,6,3,Ctrl,1.22,1,3,2,3,1,2,14.9,4.07,1.2,,,
Italian Basil,Bs49,1,1,UVC 5min,0,3,3,5,3,5,4,14.4,4.61,0,53.2,5.09,28.19
Italian Basil,Bs49,1,2,UVC 5min,0,3,3,4,4,4,4,15.7,3.9,0,49.99,7.115,30.22
Italian Basil,Bs49,1,3,UVC 5min,0,3,3,5,4,5,3,15.8,3.72,0,53.84,-2.3,29.64
Italian Basil,Bs49,6,1,UVC 5min,0.2,2,1,3,1,2,2,13.9,5.39,0,,,
Italian Basil,Bs49,6,2,UVC 5min,0.43,2,1,3,1,2,2,13.1,5.11,0,,,
Italian Basil,Bs49,6,3,UVC 5min,0.61,2,1,3,1,3,2,14.6,4.47,0,,,
Italian Basil,Bs49,1,1,UVC 8min,0,4,2,4,4,4,4,18.3,1.98,0,45.98,5.075,24.94
Italian Basil,Bs49,1,2,UVC 8min,0,4,2,4,4,4,4,18.6,1.67,0,54.77,-9.77,32.56
Italian Basil,Bs49,1,3,UVC 8min,0,4,2,4,4,4,4,19,1.38,0,55.5,-6.36,37.88
Italian Basil,Bs49,6,1,UVC 8min,0.36,1,3,3,2,1,3,15.4,3.83,0,,,
Italian Basil,Bs49,6,2,UVC 8min,0.33,1,3,3,2,1,3,15.2,5.93,0,,,
Italian Basil,Bs49,6,3,UVC 8min,0.46,1,3,3,2,1,2,15.9,3.57,0,,,
Bordeaux basil,Bs79,1,1,Ctrl,0,3,3,3,4,4,4,19.2,0.79,0,37.21,5.15,1.982
Bordeaux basil,Bs79,1,2,Ctrl,0,3,4,3,4,4,5,19.2,0.9,0,35.76,6.835,0.356
Bordeaux basil,Bs79,1,3,Ctrl,0,4,3,4,4,4,4,19.1,0.93,0,32.47,1.484,1.384
Bordeaux basil,Bs79,6,1,Ctrl,0.14,3,3,3,3,4,3,18.1,1.46,0,,,
Bordeaux basil,Bs79,6,2,Ctrl,0.07,3,3,4,3,4,3,18.2,1.41,0,,,
Bordeaux basil,Bs79,6,3,Ctrl,0.26,3,3,3,4,4,2,18.1,1.45,0,,,
Bordeaux basil,Bs79,12,1,Ctrl,0.36,1,2,2,1,1,2,17.3,1.66,0,27.08,15.49,-3.272
Bordeaux basil,Bs79,12,2,Ctrl,0.79,1,2,2,1,1,1,16.5,2.24,0,24.05,8.895,-4.744
Bordeaux basil,Bs79,12,3,Ctrl,0.83,1,2,2,1,1,1,17.3,1.56,0,29.68,-3.85,11.23
Bordeaux basil,Bs79,1,1,UVC 5min,0,3,3,4,3,5,4,19.3,1,0,29.52,19.32,-4.834
Bordeaux basil,Bs79,1,2,UVC 5min,0,3,3,4,4,5,4,19.1,1.2,0,34.26,13.48,-3.202
Bordeaux basil,Bs79,1,3,UVC 5min,0,4,3,4,4,5,4,19.4,0.91,0,33.55,1.525,-4.326
Bordeaux basil,Bs79,6,1,UVC 5min,0.27,3,3,3,4,3,3,18.1,2.07,0,,,
Bordeaux basil,Bs79,6,2,UVC 5min,0.05,3,3,2,4,3,3,17.7,1.96,0,,,
Bordeaux basil,Bs79,6,3,UVC 5min,0.05,3,3,3,4,3,3,18.3,1.46,0,,,
Bordeaux basil,Bs79,12,1,UVC 5min,0.69,2,3,2,2,2,1,16.6,2.08,0,33.12,11.47,-1.15
Bordeaux basil,Bs79,12,2,UVC 5min,0.89,2,3,2,1,2,1,16.7,2.23,0,32.89,10.64,-1.362
Bordeaux basil,Bs79,12,3,UVC 5min,0.85,1,3,2,2,2,2,17.1,1.97,0,32.89,18.63,-4.326
Bordeaux basil,Bs79,1,1,UVC 8min,0,3,4,3,4,4,4,19.5,0.93,0,32.33,1.275,21.32
Bordeaux basil,Bs79,1,2,UVC 8min,0,3,4,3,4,4,3,19.6,0.81,0,30.29,2.905,-0.136
Bordeaux basil,Bs79,1,3,UVC 8min,0,3,3,4,4,4,4,19.5,0.88,0,32.57,12.37,-2.872
Bordeaux basil,Bs79,6,1,UVC 8min,0.29,3,3,3,4,4,4,18,1.82,0,,,
Bordeaux basil,Bs79,6,2,UVC 8min,0.17,2,3,3,3,3,3,18.3,1.65,0,,,
Bordeaux basil,Bs79,6,3,UVC 8min,0.18,2,3,3,4,4,3,18.2,1.72,0,,,
Bordeaux basil,Bs79,12,1,UVC 8min,0.95,1,2,1,1,2,2,17.2,2.45,0,31.3,10.59,-1.124
Bordeaux basil,Bs79,12,2,UVC 8min,1,2,3,2,2,2,1,16.7,2.33,0.6,32.24,1.512,-5.032
Bordeaux basil,Bs79,12,3,UVC 8min,1.08,1,3,3,3,2,2,16.5,2.51,0.8,35.66,14.29,-2.614
Mint,Mn24,1,1,Ctrl,0,4,3,4,4,4,4,18.3,1.72,0,58.17,-10.45,41.3
Mint,Mn24,1,2,Ctrl,0,4,3,4,4,4,5,18.6,1.55,0,56.01,-5.225,36.4
Mint,Mn24,1,3,Ctrl,0,4,3,4,4,4,4,18.3,1.82,0,55.48,-5.08,33.79
Mint,Mn24,6,1,Ctrl,0.07,3,3,4,3,4,3,14.6,4.07,0,,,
Mint,Mn24,6,2,Ctrl,0.18,3,2,4,4,3,4,17.8,2.49,0,,,
Mint,Mn24,6,3,Ctrl,0.17,3,3,4,4,4,3,18.7,1.49,0,,,
Mint,Mn24,12,1,Ctrl,0.5,2,2,2,2,2,2,14.9,3.03,0,64.53,-1.9,44.76
Mint,Mn24,12,2,Ctrl,0.6,2,2,3,3,2,1,11.6,5.23,0,55.79,9.76,32.09
Mint,Mn24,12,3,Ctrl,0.54,2,2,4,3,2,2,13.5,4.15,0,61.44,-4.3,41.57
Mint,Mn24,1,1,UVC 5min,0,4,3,4,4,4,4,18.3,1.76,0,51.21,7.875,27.7
Mint,Mn24,1,2,UVC 5min,0,4,3,4,4,5,4,18.3,1.76,0,54.86,-8.3,34.31
Mint,Mn24,1,3,UVC 5min,0,4,3,4,4,5,4,18.6,1.46,0,53.41,-7.16,31.61
Mint,Mn24,6,1,UVC 5min,0.23,4,3,4,4,4,4,15.1,3.9,0,,,
Mint,Mn24,6,2,UVC 5min,0.49,3,3,4,4,3,4,15.3,4.01,0,,,
Mint,Mn24,6,3,UVC 5min,0.27,4,3,4,4,4,4,16.7,2.75,0,,,
Mint,Mn24,12,1,UVC 5min,0.4,2,3,3,3,2,2,12.9,4.51,0,56.36,4.315,35.27
Mint,Mn24,12,2,UVC 5min,0.41,2,2,3,3,2,2,13.5,4.43,0,54.15,5.535,33.79
Mint,Mn24,12,3,UVC 5min,0.5,2,2,3,3,2,2,12.9,4.57,0,51.97,0.76,30.27
Mint,Mn24,1,1,UVC 8min,0,4,3,4,4,4,4,17.7,2.67,0,57.57,-2.915,39.79
Mint,Mn24,1,2,UVC 8min,0,4,3,4,4,3,4,18.5,1.7,0,56.84,-7.63,35.58
Mint,Mn24,1,3,UVC 8min,0,4,3,4,4,3,4,18.4,1.79,0,57.66,-2.015,39.21
Mint,Mn24,6,1,UVC 8min,0.54,4,3,4,3,4,4,14.8,4.14,0,,,
Mint,Mn24,6,2,UVC 8min,0.66,4,3,4,3,3,4,16.1,2.99,0,,,
Mint,Mn24,6,3,UVC 8min,0.62,3,3,4,3,3,4,15.4,3.48,0,,,
Mint,Mn24,12,1,UVC 8min,1.22,2,3,3,3,2,3,12.9,4.64,0,60.3,27.03,40.88
Mint,Mn24,12,2,UVC 8min,1.16,2,3,3,3,2,2,14.5,4.08,0.6,50.4,11.93,28.46
Mint,Mn24,12,3,UVC 8min,1.13,2,3,3,3,2,3,12.9,4.39,0.7,56.51,-1.94,34.56
Mountain coriander,Cr26,1,1,Ctrl,0,3,3,4,4,3,4,17.1,2.68,0,43.09,-0.4,27.49
Mountain coriander,Cr26,1,2,Ctrl,0,4,3,4,4,4,5,18.4,1.4,0,41.91,-12.07,28.87
Mountain coriander,Cr26,1,3,Ctrl,0,4,3,4,3,4,5,16.7,2.91,0,42.73,-11.1,28.85
Mountain coriander,Cr26,6,1,Ctrl,0.17,3,3,4,4,4,3,13.2,3.04,0,,,
Mountain coriander,Cr26,6,2,Ctrl,0.16,2,3,3,4,2,2,13.4,3.59,0,,,
Mountain coriander,Cr26,6,3,Ctrl,0.05,3,3,4,4,3,2,14.3,6.48,0,,,
Mountain coriander,Cr26,12,1,Ctrl,0.28,2,2,2,3,2,3,15.89,2.73,0,39.31,-7.995,26.65
Mountain coriander,Cr26,12,2,Ctrl,0.49,2,2,1,2,2,3,16.2,2.75,0,41.08,-3.205,26.3
Mountain coriander,Cr26,12,3,Ctrl,0.43,2,2,2,2,2,3,15.22,2.83,0,29.44,-14.96,22.13
Mountain coriander,Cr26,1,1,UVC 5min,0,4,3,5,5,5,4,20.2,2.16,0,43.93,-10.53,25.25
Mountain coriander,Cr26,1,2,UVC 5min,0,4,3,5,5,4,4,17.9,1.52,0,42.75,-7.665,25.9
Mountain coriander,Cr26,1,3,UVC 5min,0,4,3,5,5,4,4,17.1,2.84,0,41.27,-9.97,28.5
Mountain coriander,Cr26,6,1,UVC 5min,0.62,4,3,4,4,4,2,14.3,5.98,0,,,
Mountain coriander,Cr26,6,2,UVC 5min,0.23,4,3,4,4,4,2,13.2,7.07,5.4,,,
Mountain coriander,Cr26,6,3,UVC 5min,0.15,3,3,4,4,2,3,13.5,5.09,1.3,,,
Mountain coriander,Cr26,12,1,UVC 5min,0.89,3,3,3,4,4,3,13,6.97,4.92,35.43,-4.555,22.18
Mountain coriander,Cr26,12,2,UVC 5min,0.81,3,3,2,3,2,3,12.54,7.39,4.3,25.56,-17.59,21.17
Mountain coriander,Cr26,12,3,UVC 5min,0.79,2,3,2,3,2,2,12.38,7.23,2.6,37.24,-13.25,26.21
Mountain coriander,Cr26,1,1,UVC 8min,0,4,3,4,4,4,4,17.1,3.25,1.4,39.08,-3.685,21.77
Mountain coriander,Cr26,1,2,UVC 8min,0,4,3,4,4,3,4,16.9,3.5,1.4,41.65,-13.21,29.67
Mountain coriander,Cr26,1,3,UVC 8min,0,4,3,4,3,2,3,16.8,3.4,1.3,38.32,-14.52,27.85
Mountain coriander,Cr26,6,1,UVC 8min,0.16,4,3,4,4,4,4,14.5,5.81,3.2,,,
Mountain coriander,Cr26,6,2,UVC 8min,0.1,3,3,4,4,3,4,13.9,6.15,4,,,
Mountain coriander,Cr26,6,3,UVC 8min,0.11,3,3,5,4,3,3,13.7,6.53,3.3,,,
Mountain coriander,Cr26,12,1,UVC 8min,1.16,3,2,4,4,4,4,11.1,8.5,6.9,39.77,-4.085,23.58
Mountain coriander,Cr26,12,2,UVC 8min,2.13,3,3,4,4,3,4,11.3,8.32,2.7,34.49,-4.27,25.28
Mountain coriander,Cr26,12,3,UVC 8min,1.45,3,2,4,4,4,3,11.3,8.38,3,40.89,-3.05,23.81
